Time,V1,V2,V3,V4,V5,Amount,Class
0,-1.36,-0.07,2.53,1.37,-0.33,149.62,0
1,1.19,0.27,0.17,0.45,0.06,2.69,0
2,-1.36,-1.34,1.77,0.38,-0.50,378.66,0
3,-0.97,-0.18,1.79,-0.86,-0.01,123.50,0
4,-1.15,0.40,1.54,0.40,-0.40,69.99,0
5,-0.42,0.96,1.14,-0.17,0.42,3.67,0
6,1.22,0.14,0.04,0.57,-0.27,4.99,0
7,-0.64,1.41,1.07,-0.49,0.95,40.80,0
8,1.46,-1.32,0.61,-1.17,-1.19,93.20,0
9,-0.89,0.29,-0.11,-0.27,2.67,3.68,1
10,1.10,-0.05,0.68,1.20,-0.30,15.00,0
11,-2.10,1.45,-0.52,2.50,-1.60,250.00,1
12,0.95,-0.10,0.55,0.80,0.10,45.60,0
13,-1.75,2.10,-1.80,3.20,-0.90,520.00,1
14,1.50,0.20,0.30,0.40,0.20,10.50,0
15,-3.20,2.80,-2.50,4.10,-1.70,980.00,1
16,0.80,-0.20,1.10,0.60,0.30,85.00,0
17,-2.60,1.90,-1.60,2.90,-1.20,430.00,1
18,1.00,0.10,0.20,0.30,0.10,18.00,0
19,-1.90,2.30,-2.10,3.50,-1.50,760.00,1
